id_mpio_postal;zona_postal;codigo_postal;id_mpio
433;544;54428;5649
434;1530;153020;15022
435;6855;685518;68397
436;560;56027;5789
437;6610;661001;66170
438;6815;681531;68425
439;7615;761528;76823
440;540;54058;5318
441;6840;684069;68895
442;1552;155201;15572
443;1506;150660;15839
444;6300;630004;63001
445;7600;760001;76001
446;1544;154448;15686
447;1860;186037;18029
448;2502;250220;25769
449;9920;992001;99524
450;548;54817;5652
451;8560;856019;85010
452;2502;250251;25899
453;8610;861027;86749
454;5270;527067;52405
455;2345;234517;23807
456;6810;681003;68276
457;1524;152447;15822
458;528;52810;5736
459;5210;521048;52693
460;6875;687587;68406
461;6820;682009;68669
462;7300;730001;73001
463;1730;173020;17433
464;5210;521080;52083
465;7600;760024;76001
466;7630;763037;76670
467;510;51038;5308
468;8510;851077;85225
469;7355;735567;73168
470;2350;235020;23419
471;7010;701038;70508
472;2050;205078;20710
473;1935;193589;19256
474;2534;253440;25320
475;4180;418007;41503
476;1350;135027;13744
477;2330;233048;23555
478;1512;151267;15522
479;2506;250637;25779
480;6855;685567;68861
481;4100;410007;41001
482;2504;250418;25793
483;7050;705050;70233
484;2540;254007;25513
485;8540;854037;85410
486;6850;685007;68101
487;1111;111121;11001
488;4780;478067;47268
489;2518;251810;25845
490;5070;507051;50318
491;1910;191048;19698
492;2504;250450;25224
493;2345;234539;23855
494;7070;707010;70713
495;1548;154860;15212
496;2510;251038;25486
497;2536;253660;25777
498;568;56850;5044
499;7605;760557;76869
500;5020;502008;50573
501;2760;276038;27075
502;1300;130011;13001
503;6835;683541;68524
504;9910;991059;99773
505;2534;253437;25851
506;7635;763517;76306
507;5205;520537;52258
508;1305;130510;13222
509;9510;951008;95025
510;8540;854017;85139
511;8550;855050;85300
512;1810;181037;18256
513;2750;275038;27077
514;1950;195008;19100
515;554;55430;5607
516;564;56427;5861
517;7355;735569;73168
518;6825;682578;68855
519;820;82007;8296
520;1506;150647;15087
521;2528;252801;25580
522;5230;523007;52885
523;568;56837;5847
524;9510;951007;95025
525;554;55440;5129
526;6855;685551;68179
527;6815;681521;68152
528;850;85040;8606
529;1330;133040;13300
530;1524;152468;15542
531;6870;687061;68575
532;4760;476067;47170
533;4170;417039;41551
534;2305;230558;23162
535;9150;915019;91669
536;5220;522067;52260
537;7010;701057;70418
538;558;55867;5059
539;1305;130528;13683
540;1335;133537;13667
541;5200;520003;52001
542;5225;522520;52683
543;2536;253607;25658
544;1107;110721;11001
545;1548;154847;15109
546;5240;524039;52560
547;5210;521001;52685
548;2770;277010;27615
549;5205;520577;52051
550;7000;700003;70001
551;1720;172048;17513
552;6810;681027;68547
553;1538;153867;15776
554;7335;733517;73275
555;5205;520509;52110
556;9520;952001;95200
557;6830;683031;68298
558;5480;548017;54810
559;1504;150469;15238
560;5070;507048;50150
561;568;56818;5475
562;1700;170001;17001
563;2536;253601;25658
564;2532;253227;25095
565;1905;190567;19473
566;5010;501028;50226
567;578;57840;5045
568;550;55027;5400
569;5060;506047;50251
570;5215;521548;52687
571;1940;194068;19785
572;524;52448;5895
573;7625;762530;76736
574;4140;414020;41298
575;8540;854018;85139
576;6875;687578;68406
577;7335;733527;73268
578;5275;527508;52696
579;1920;192008;19821
580;520;52079;5361
581;5410;541017;54405
582;2506;250607;25407
583;1538;153827;15676
584;2730;273058;27491
585;1104;110441;11001
586;1800;180002;18001
587;6830;683028;68500
588;820;82027;8078
589;2510;251027;25295
590;5215;521501;52694
591;2520;252010;25524
592;1720;172060;17388
593;7610;761047;76890
594;4170;417018;41807
595;4110;411087;41206
596;7320;732001;73270
597;538;53820;5021
598;1504;150488;15693
599;1506;150620;15162
600;2510;251047;25772
601;6820;682051;68051
602;1960;196009;19318
603;1340;134070;13458
604;4150;415047;41518
605;4150;415001;41797
606;1532;153240;15842
607;6320;632001;63130
608;5000;500001;50001
609;4110;411048;41799
610;5040;504047;50683
611;5275;527547;52390
612;540;54030;5148
613;1330;133049;13300
614;1320;132040;13894
615;2305;230550;23162
616;1522;152240;15362
617;1905;190518;19130
618;6810;681019;68547
619;1950;195067;19450
620;6630;663037;66045
621;1780;178001;17442
622;1935;193578;19256
623;5240;524069;52356
624;2330;233001;23570
625;1105;110551;11001
