noid;limite_norte;limite_sur;limite_este;limite_oeste;tipo;barrios_contenidos_en_el_codigo_postal;veredas_contenidas_en_el_codigo_postal;codigo_municipio;codigo_departamento
1069;MUNICIPIO CARAMANTA;MPIO. SUPIA Y LA MERCED;MUNICIPIO PACORA;MUNICIPIO SUPIA;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;17442;17
1871;MPIO. NUQUI Y ALTO BAUDO;RÍO BAUDO;MUNICIPIO MEDIO BAUDO;OCÉANO PACÍFICO;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;27077;27
1591;CL 8;CL 1;KR 1;KR 5 BIS;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;25807;25
2735;CL  45;M. FLORIDABLANC;LIMITE URBANO;DG 15 Y KR 27;Urbano;Altos de Terrazas- Altos del Cacique- Altos del Lago- Antonia Santos I- Asturias II- Bolarqui- Cabecera del Llano- Campestre- Conucos- Diamante I- El Tejar- Guayacanes I II Y III- Hacienda San Juan- Jardín- La Concordia- La Floresta- La Libertad- La Salle;10 de Mayo Santa Bárbara;68001;68
1755;MUNICIPIO CHAGUANÍ;MUNICIPIO BELTRÁN;M. RÍO SECO  DE LAS PALMAS;MPIO. AMBALEMA Y ARMERO;Rural;Sin Informacion de Barrios;CAMBAO- CAPIRA-  EL LIMON-  HONDURAS-  La Aldea Danubio-  LA UNION-  LLANO DEL PLATANAL-  LOMA LARGA-  NUQUIA-  PUERTO CHAGUANI-  San Martin-  Santuario;25662;25
682;CL 22;LIMITE URBANO;KR 2;KR 17;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;13670;13
863;MPIO. UMBITA Y CHINAVITA;MPIO. TENZA Y GARAGOA;MPIO. CHINAVITA Y GARAGOA;MPIO. UMBITA Y LA CAPILLA;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;15511;15
137;MUNICPIOS REMEDIOS;MUNICIPIO YALI;MUNICIPIO REMEDIOS;MUNICIPIO AMALFI;Rural;Sin Informacion de Barrios;Bélgica- Corinto-  El Cascajo-  El Churu-  El Jabón-  El Olvido-  El Silencio-  El Tigre-  Guamoco-  La Aldea-  La Alejandría-  La Clarita-  La Gallinera-  Mata Arriba-  Mona-  San Juan-  San Pascual;5858;5
28;CL  47D;CL  33;KR  66B  Y  63D;KR  81  Y  80;Urbano;Bolivariana- El Velódromo- Florida Nueva- Las Acacias- Laureles- Lorena- Los Pinos- Naranjal- San Joaquín- U.P.B;Sin Informacion de Veredas;5001;5
2677;MUNICIPIO QUIMBAYA;VÍA ARMENIA-LA VICTORIA;MPIO. ARMENIA Y CIRCASIA;MPIO. OBANDO Y LA VICTORIA;Rural;Aldea Suiza- Villa Marlen;El Guayabo- El Laurel-  La Australiana-  La Cabaña-  La Julia-  La Pradera-  Morelia Baja-  Pinares-  Pueblo Rico-  Santa Rita;63470;63
3499;KR 2;LIMITE URBANO;LIMITE URBANO;CL 1;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;85279;85
944;LIMITE URBANO;CL 0;LIMITE URBANO;KR 5;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;15664;15
3332;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;Urbano;Bolívar- Centro- El Reposo- La Seiba- Los Almendros- Los Laureles- Nuevo Horizonte- Obrero I Etapa- Obrero II Etapa- Provivienda- Provivienda Etapa III Las Colinas- Villa Colombia- Villa de San Juan;Sin Informacion de Veredas;76041;76
743;MUNICIPIO SOATÁ;MUNICIPIO SATIVANORTE;M. BOAVITA- LA UVITA Y JERICÓ;MUNICIPIO ONZAGA;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;15774;15
41;MUNICIPIO SAN JERONIMO;ALTO DEL BOQUERÓN Y RELIEVE MON.;MUNICIPIO SAN PEDRO DE LOS MILAGROS;MUNICIPIO EBEJICO;Rural;Sin Informacion de Barrios;La Aldea- La Esmeralda-  La Frisola-  La Sucia-  La Suiza-  Los Pomos-  Potrera Miserenga;5001;5
661;RÍO PERMANEN. - LOMAS CERRO LARGO;MUNICIPIO MONTECRISTO;MUNICIPIO RÍO VIEJO;MPIO. ACHÍ Y MONTECRISTO;Rural;Sin Informacion de Barrios;Concepción;13810;13
700;CL 12;CL 1;KR 3;KR 15;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;15814;15
