noid;limite_norte;limite_sur;limite_este;limite_oeste;tipo;barrios_contenidos_en_el_codigo_postal;veredas_contenidas_en_el_codigo_postal;codigo_municipio;codigo_departamento
1962;VÍA AGRADO-GARZÓN;MUNICIPIO GUADALUPE;MUNICIPIO FLORENCIA;MPIO. AGRADO Y ALTAMIRA;Rural;Granjas- N. Esperanza Real;Albania- Alto San Isidro-  Buenos Aires-  Caguansito-  Campo Bello-  CAMPO BELLO-  El Balseral-  El Caguán-  El Descanso-  EL GRIFO-  El Mirador-  El Paraíso-  El Pescado-  El Progreso-  El Recreo-  El Rosario-  El Socorro-  El Viso-  Filo de Guayabal-  F;41298;41
248;CL 21 S;CL 40F S;LIMITE URBANO;KR 39 S - CL 26B S;Urbano;Alto de Misael- El Chocho- El Esmeraldal- La Inmaculada- La Pradera- La Sebastiana- Las Flores- Las Orquídeas- Loma de Las Brujas- Loma del Atravesado- Los Naranjos- Mesa- San José- Uribe Ángel- Zúñiga;Sin Informacion de Veredas;5266;5
1867;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;27430;27
3197;KR 10;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;73873;73
2453;RÍO PALÍ Y (PERMANENTE);RÍO CRISTAL Y (PERMANENTE);RÍO (PERMANENTE);RÍO TELEMBI;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;52678;52
1319;LIMITE URBANO;CL 21;RIO GUATAPURI;AK S. BOLIVAR Y HURTADO;Urbano;Alfonso Lopez- Altagracia- Canaguate- Centro- Chimilá- Ciudad Jardín- Conjunto Residencial del Norte- El Carmen- Gaitán- Guajira- Guatapurí- Hospital- Kennedy- La Esperanza Oriente- La Garita- La Granja- Las Delicias- Las Palmas- Los Ángeles- Los Campanos;Sin Informacion de Veredas;20001;20
2380;MUNICIPIO ILES;MPIO. IPIALES Y PUERRES;MUNICIPIO FUNES;MUNICIPIO GUALMATÁN;Rural;Sin Informacion de Barrios;Aldea de María- El Capuli-  El Contaderito-  El Culantro-  Las Cuevas-  Ospina Pérez-  Santa Rosa de San Francisco;52210;52
1203;MUNICIPIO CORINTO;RÍO PALO;RÍO (PERMANENTE);MUNICIPIO CALOTO;Rural;Sin Informacion de Barrios;Alto de la Cruz- Aso Madero-  Buenavista-  El Galvial-  Flayo-  Gallinazas-  Huila-  La Calera-  La Capilla-  La Fonda-  La Luz-  La Susana-  La Tolda-  Loma de Paja-  Potrero-  San Diego-  Soto-  Triunfo;19821;19
2832;MUNICIPIO COROMORO;RÍO GUACHA;MUNICIPIO BELEN;MUNICIPIO CHARALA;Rural;Sin Informacion de Barrios;Árbol Sólo- Guacamayasl-  Llano-  Los Medios-  Minas-  Percachal-  Salinas-  Santa Clara-  Ture;68264;68
999;MUNICIPIO NEIVA;MUNICIPIO VILLAMARIA;MUNICIPIO HERVEO;LIMITE URBANO;Rural;Alhambra - Colinas Porta- Bosques de Niza- La Cumbre;Belmira- Chupaderos-  CHupaderos-  El Desquite-  El Paraíso-  El Zancudo-  Espartillal-  Hoyo Frío-  Pueblo Hondo-  Quebrada negra-  Río Blanco-  San Juan-  Santa Rita-  Sinaí;17001;17
2999;MUNICIPIO CACHIRA;MUNICIPIO RIONEGRO;VIA B/MANGA-LA ESPERANZA;MUNICIPIO RIONEGRO;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;68255;68
1810;CL 5;CL 1 S;KR 0;KR 5;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;25518;25
1145;VÍA LAS PIEDRAS-EL HATICO Y M. TOTORO;MUNICIPIO PURACÉ;MPIO. TOTORO Y PURACE;VÍA EL HATICO-LAS PIEDRAS-POBLAZÓN;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;19001;19
3118;MUNICIPIO LÉRIDA;M. ANZOÁTEGUI Y ALVARADO;VÍA LÉRIDA-ALVARADO;MUNICIPIO SANTA ISABEL;Rural;Sin Informacion de Barrios;Agrado Buenavista- Altamirada-  Alto Megue-  Balcones-  Cabecera del LLano-  Cabecera Municipal-  Casitas-  Cofradia Gallego-  El PLacer-  El Rodeo-  El Salto-  El Suspiro-  La Aguada-  La Argentina-  La Cubana-  La Estrella-  La Honda-  La Planada-  La S;73861;73
144;MUNICIPIO VEGACHI;MUNCIPIO YOLOMBO;MUNICIPIOS REMEDIOS;MUNICIPIO YOLOMBO;Rural;Sin Informacion de Barrios;Agua Bonita- Bélgica-  Bellavista-  Bellavista-  Brazueros-  Cabecera Municipal-  Cabecera Municipal-  Casamora-  Doña Ana-  El Briceño-  EL Cinco-  El Cinismo-  El Hatillo-  El Jardín-  El Rubi-  El Zancudo-  La Argentina-  La Brillantina-  La Ceiba-  La;5885;5
407;MUNICIPIO TUBARA;M. PIOJO Y USIACURI;MUNICIPIO BARANOA;VIA TUBARA-PIOJO;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;8372;8
3341;MUNICIPIO ULLOA;M. QUIMBAYA Y FILANDIA;MUNICIPIO FILANDIA;MUNICIPIO CARTAGO;Rural;Las Delicias- Villa Fernanda;Arauca- Bélgica-  Cabecera Municipal-  Chapinero-  Dinamarca-  El Cofre-  El Congal-  El Congal-  El Pinal-  La Caña-  La Cuchilla-  La Floresta-  La Polonia-  La Unión-  Los Sauces-  Mara Véles-  Mesa Alta-  Mesa Baja-  Patevilca-  Pavas-  Playas Verdes-;76020;76
1670;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;25506;25
2309;RÍO (PERMANENTE);RÍO (PERMANENTE);MPIO. EL TABLÓN DE GÓMEZ;RÍO IJAGUI;Rural;Sin Informacion de Barrios;LLano Largo- Marcella-  Pitalito Bajo;52110;52
973;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;15401;15
2160;MPIO. PEDRAZA Y ARROYO EL CAÑITO;MUNICIPIO TENERIFE;MUNICIPIO CHIBOLO;MUNICIPIO EL GUAMO;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;47960;47
1922;Q. TATACOA Y RÍO (PERMA.) Y M. ALPUJA.;MPIO. TELLO Y BARAYÁ;MUNICIPIO BARAYÁ;MUNICIPIO AIPE;Rural;Sin Informacion de Barrios;CABUYAL- EL LIBANO-  Los Medios-  SAN ALFONZO;41872;41
1150;VÍA EL CARMELO-LOMA EL DIVISO;MUNICIPIO POPAYÁN;VÍA EL CARMELO-POPAYÁN;VÍA DINDE-LOMA EL DIVISO;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;19130;19
1848;MPIO. RÍO IRO E ISTMINA;MUNICIPIO NOVITA;RELIEVE MONTAÑOSO;MPIO. MEDIO SAN JUAN;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;27205;27
549;RIO;LIMITE URBANO;M. SANTA ROSA;LIMITE URBANO Y MAR CARIBE;Rural;La Carolina;Sin Informacion de Veredas;13001;13
3626;MPIO. SAN JOSE DEL G. Y EL RETORNO;MUNICIPIO MIRAFLORES;MPIO. EL RETORNO Y MIRAFLORES;RÍO ITILLA;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;95015;95
3574;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;91407;91
1533;TV 7  Y  KR 7;RIO BOGOTÁ;AU SUR;RIO BOGOTÁ;Urbano;Abc Santa Ana- Arizona- Atenea- Buenos Aires- Ciudad de Quito- Ciudad Latina I- Ciudad Latina II- Ciudad Latina III- Ciudad Satélite- Cobeg- Compartir- Conviva I- Conviva II- El Cedro- El Salitre- El Vivero- Hospital Geriátrico- La Fontana I- La Fontana I;Sin Informacion de Veredas;25754;25
1561;LIMITE URBANO;CL 1;LIMITE URBANO;KR 9;Urbano;Sin Informacion de Barrios;Cabecera Municipal- Tausa;25793;25
3394;MUNICIPIO PRADERA;MUNICIPIO MIRANDA;VÍA MIRANDA-PRADERA;MUNCIPIO CANDELARIA;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;76275;76
2096;AC LIBERTADOR;RIO MANZANARES;KR  32;MAR CARIBE;Urbano;13 de Junio- 7 de Agosto- Alambique- Bavaria- Bella Vista- Bolívar- Boston- Centro I- Colón- Cundí- Delicias- El Reposo- Jardín- La Esperanza- La Teneria- Las Vegas- Los Ángeles- Los Alcázares- Los Cerros- Los Naranjos- Minuto de Dios- Miramar- Municipal-;Sin Informacion de Veredas;47001;47
1095;MUNICIPIO EL PAUJIL;MPIO. SOLANO Y MILÁN;MPIO. CARTAGENA DEL CHAIRÁ;Q. LA CULEBRA Y VÍA MATEGUA.-PALMA A.;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;18410;18
349;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;Urbano;Sin Informacion de Barrios;Aguas Claras- Cabecera Municipal;5480;5
2736;CL  99;M. FLORIDABLANCA;KR  27;M. GIRÓN;Urbano;Altos de Fontana- Candado- Ciudad Venecia- Condado de Gibraltar- Coomultrasan- Dangon- Delicias- Diamante II- El Porvenir- Fontana- Granjas de Julio Rincón- Granjas de Provenza- Igsabelar- Jardínes de Coaviconsa- La Riviera- Malpaso- Manuela Beltrán- Nuev;Sin Informacion de Veredas;68001;68
1671;M. PANDI Y SAN BERNARDO;MUNICIPIO CABRERA;MUNICIPIO SAN BERNARDO;MUNICIPIO ICONONZO;Rural;Sin Informacion de Barrios;AGUADULCE- LA REFORMA-  PALMAR ALTO-  Q. GRANDE ALTA-  Q. GRANDE BAJA-  REBOL-  SAN CRISTOBAL-  SANTA MARTA;25506;25
2850;CL 15;CL 2;KR 3;KR 10B;Urbano;Sin Informacion de Barrios;Palo Blanco- San Bartolome;68500;68
3212;MUNICIPIO PRADO;MUNICIPIO VILLAVIEJA;MPIO. DOLORES Y ALPUJARRA;RÍO MAGDALENA;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;73483;73
749;M. MOLAGAVITA Y SAN JOSE DE MIRANDA;MUNICIPIO TIPACOQUE;MUNICIPIO CAPITANEJO;MUNICIPIO ONZAGA;Rural;Sin Informacion de Barrios;Cabecera Municipal- Centro-  Cucharito-  El Naranjo-  Galvan-  Nogontoba-  Potreritos-  Potrero Grande-  Satova Arriba;15218;15
3611;B. PIRAQUIBE Y LIMITE URBANO;B. EL TRIUNFO Y L. U.;B. REMANSO- SAN JORGE Y LIM. U.;RIO GUAVIARE  Y  LIM URB;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;95001;95
2163;M. PIVIJAY Y SABANAS DE SAN ANGEL;MUNICIPIO PLATO;M. SABANAS DE SAN ANGEL;VÍA CHIBOLO-LAS CANOAS;Rural;Sin Informacion de Barrios;Las Canoas;47170;47
2237;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;Urbano;Antonio Ricaurte- Belén- Brisas del Irique- Camilo Torres- Centro- Ciudadela Pedagógica del Ariari- Conjunto Cerrado El Cortijo- Conjunto Cerrado La Aurora- Conjunto Cerrado Villa Lid- El Alcarabán- El Bosque- El Cedral- El Jardín- El Porvenir- El Progres;Sin Informacion de Veredas;50313;50
1147;RÍO CAUCA;MPIO. EL TAMBO Y TIMBÍO;LIMITE URBANO;MUNICIPIO EL TAMBO;Rural;Asentamiento SamuEl Silverio- Los Dos Brazos- Los Faroles- Puelenje- Vereda de Torres- Vereda El Boquerón- Vereda El Salvador- Vereda El Túnel;San Rafael;19001;19
2841;MPIO. VALLE DE SAN JOSE;QUEBRADA MORARIA;QUEBRADA MORARIA;MUNICIPIO PARAMO Y CHARALA;Rural;Sin Informacion de Barrios;Agua Fría- El Hoyo-  Flores-  Guacal-  Hatillo-  Pedregal Abajo-  Piedra de Rayo-  Puertas;68498;68
315;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;5873;5
230;M. MONTEBELLO Y RÍO PERMANENTE;MUNICIPIO  AGUADAS;MUNICIPIO SONSON;MUNICIPIO STA BARBARA;Rural;Sin Informacion de Barrios;Cañaveral- Chagualal-  Corinto-  El Granadillo-  El Volcan-  Habana Arriba-  La Betulia-  La Circita-  La Florida-  La Loma Parte Baja-  La Nubia-  La Peña-  La Perdida-  La Primavera-  La Samaria-  LLanogrande-  Loma de don Santos-  Mata de Guadua-  Mont;5002;5
1743;DG 9;CL 2A S;KR 1 W;KR 6;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;25019;25
417;MUNICIPIO MALAMBO;MUNICIPIO PONEDERA;M. SABANAG. Y STO. TOMAS;MUNICIPIO BARANOA;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;8558;8
2687;LIMITE URBANO;AK 30 AGO-  KR 13;AK FE-CL 10 BIS-KR 6;AK DEL RIO;Urbano;1 de Mayo- 30 de Agosto- 30 de Agosto I- Alcázares- Bavaria- Bayron Gaviria- Buenos Aires- Cañarte- Constructores- El Prado- El Progreso- Galería Central- Galán- Getsemaní- Girasoles- Gualanday- José Marti- La Campiña- La Esperanza- La Palmera- La Paz- La;Boquia- Cabecera Municipal-  La Badea;66001;66
2039;MAR CARIBE;MUNICIPIO MAICAO;ARRO. JAPUOHO- AMAMA.- SHISHO. Y LIMÓN;ARROYO YUNA- CATAHIRIAI Y BOLOMBOLO;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;44560;44
330;MUNICPIO ITUANGO;QUEBRADA PEQUE;MUNICIPIO ITUANGO;M. ITUANGO Y DABEIBA;Rural;Sin Informacion de Barrios;Al Páramo- Cabecera Municipal-  Corcobado-  El Aura-  El Caliche-  El Plan-  El Popal-  Guayabal-  Jerigua-  La Guadua-  Las Faldas-  Las Faldas del Café-  Las Lomas-  Llano de Pueblo-  Los Llanos-  Nueva Llanada-  Parque Nacional Natural del Paramillo-;5543;5
2180;MUNICIPIO CIÉNAGA;RÍO FRIO;MUNICIPIO CIÉNAGA;MUNICIPIO CIÉNAGA;Rural;BARRIO ALTO PRADO- BARRIO CALLE BOLIVAR- BARRIO CENTRO- BARRIO EL BAJO- BARRIO EL BOLSILLO- BARRIO EL PORVENIR- BARRIO LA 58- BARRIO LA ALEGRIA- BARRIO LA ALEMANIA- BARRIO LA ESPERANZA- BARRIO LA ESTACION- BARRIO LA VICTORIA- BARRIO LAS MALVINAS- BARRIO L;Sin Informacion de Veredas;47980;47
2119;CIENAGA CHILLOA;M. MARGARITA Y HATILLO DE LOBA;VÍA EL BANCO-CHIMICHAGUA Y RÍO (PER.);MUNICIPIO GUAMAL;Rural;Sin Informacion de Barrios;Guaimaral- Pajaral-  Urquijo;47245;47
885;MUNICIPIO CHIVATA;MPIO. VIRACACHA Y RONDÓN;RÍO SIACHOQUE;MUNICIPIO SORACA;Rural;Sin Informacion de Barrios;Chen- Pueblo Viejo-  Romonguira;15740;15
670;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;13490;13
367;M. SAN JUAN DE URABA;QUEBRADA;MUNICIPIO NECOCLI;RÍO SAN JUAN;Rural;Sin Informacion de Barrios;Boca Al Revés- Boca Tapada-  Cajones-  Campanito-  Candelaria-  El Arquino-  El Bonquito-  El Carmelo-  El Caucho-  El Guadal-  El Tigre-  El Volcán-  El Volcancito-  El Yeso-  Halandita-  Holanda-  La Trinidad-  Las Pachacas-  Las Patillas-  Las Platas-;5051;5
2115;M. SAN SEBASTIÁN DE BUENAVISTA;VÍA GUAMAL-SAN ANTONIO;VÍA SAN ANTONIO-ASTREA;M. SAN FDO. Y SAN SEBAS. DE BUENAVIS.;Rural;Sin Informacion de Barrios;Bellavista- El Coco-  La Ceiba-  La Pacha-  Las Margaritas-  Paraco-  Pedregoza-  Pedregoza-  Playas Blancas-  Salvadora-  San Antonio-  Santa Teresita-  Venero;47318;47
180;MUNICIPIO CONCEPCIÓN;M. EL SANTUARIO Y GRANADA;MUNICIPIO GUATAPÉ;M. SAN VICENTE Y MARINILLA;Rural;Sin Informacion de Barrios;Corrientes- Culebra-  El Marial-  El Porvenir-  El Salto-  Guamal-  Guamito-  La Chapa-  La Honda-  Magdalena-  Magdalena-  Morro-  Palmira-  Peñolcito-  Potrerito-  Primavera-  Salto Abajo-  Santa Ana-  Santa Ines;5541;5
3587;CAÑO CHANGUITA Y PAÍS VENEZUELA;PAÍS VENEZUELA;PAÍS VENEZUELA;CAÑO CHIGUIRE Y RÍO (PERMANENTE);Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;94886;94
847;MUNICIPIO CHINAVITA;M. ALMEIDA Y MACANAL;MUNICIPIO MIRAFLORES;M. PACHAVITA- TENZA Y SUTATENZA;Rural;Sin Informacion de Barrios;Boya II;15299;15
2258;LIMITE URBANO;CL 1;LIMITE URBANO;KR 12A;Urbano;Sin Informacion de Barrios;El Vergel- San Miguel;50223;50
456;MUNICIPIO LURUACO;M. SOPLAV. Y SAN CRIST.;M. MANATI Y SABANALAR.;VIA LURUACO-REPELÓN;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;8606;8
3593;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;94883;94
2278;MUNICIPIO PUERTO LÓPEZ;CAÑO EL GUAN.- CUMARAL- TURPIAL Y MORRO.;MPIO. PUERTO GAITÁN;CAÑO CAMOA;Rural;Sin Informacion de Barrios;La Cristalina;50689;50
2126;MPIO. NVA. GRANADA Y ARIGUANÍ;MPIO. PIJIÑO DEL CARMEN;MUNICIPIO EL PASO;VÍA LA GLORIA-PIJIÑO DEL CARMEN;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;47707;47
494;AC  6;CL  40 S;AK  86;RIO BOGOTÁ;Urbano;Calandaima- Campo Hermoso- El Paraíso- El Paraíso Bosa- Galán- Galán Rural- Osorio III- Patio Bonito- Patio Bonito II- Patio Bonito III- Tairona;Sin Informacion de Veredas;11001;11
3209;CL 10A;CL 1A;A LA ARADITA;CL MARIA AUXILIADORA;Urbano;Sin Informacion de Barrios;Cabecera Municipal- Guasimal;73024;73
1496;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;Urbano;Aguas Vivas- Blanca Urzola- Camilo Jiménez- Centro- El Edén- El Progreso- La Unión- Las Cruces- Miraflores- Palmira- San José- Santiago Sánchez- Siete de Septiembre- Veinte de Julio- Veinte de Marzo- Vende Agujas;Sin Informacion de Veredas;23580;23
1148;CL 8;LIMITE URBANO;KR 0;KR 7;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;19130;19
3140;RÍO MEDINA Y VÍA FRESNO-PADUA;M. CASABIAN.- PALOCABILDO Y FALAN;MUNICIPIO MARIQUITA;MUNICIPIO HERVEO;Rural;Sin Informacion de Barrios;San José;73283;73
694;M. GAMBITA Y SOTAQUIRÁ;QUEBRADA PASO GRANDE;M. SOTAQUIRÁ Y TUTA;MUNIICPIO ARCABUCO;Rural;Sin Informacion de Barrios;Cedro- Cortadera-  Cortadera Grande-  Cotoba-  El Carmen-  El Resguardo-  El Resguardo-  Guausa-  Las Mercedes-  Quirvaquira-  Rio De Piedras-  Rio de Piedras-  San Francisco-  San Isidro-  San Martín-  San Rafael-  Santa Bárbara;15204;15
1967;M. LA PLATA Y VÍA AGRADO-LA PLATA;MUNICIPIO TARQUI;MUNICIPIO AGRADO;M. LA ARGENTINA Y LA PLATA;Rural;Sin Informacion de Barrios;ALTO LIBANO- ALTO RETIRO-  AMPARO-  BAJO MINAS-  EL CARMELO-  EL CARMEN-  EL PROGRESO-  EL RETIRO-  EL TAMBO-  EL TRIUNFO-  EUREKA-  FLOR AMARILLO-  FLORIDA-  LA MESA-  LA VEGA-  LAGUNILLA-  LAS MINAS-  LOS MILAGROS-  MERCEDES-  MESITAS-  MONTEBELLO-  PLA;41548;41
3210;MUNICIPIO DOLORES;M. VILLAVIEJA Y BARAYA;MPIO. DOLORES Y COLOMBIA;M. NATAGAIMA Y VILLAVIEJA;Rural;Sin Informacion de Barrios;Agua de Dios- Aradita-  Bateas-  Bermejo-  Colopo-  Corinto-  Cruces-  El Carmen-  El Guarumo-  El Moral-  El Salado-  Guacamayas-  La Lincosa-  Las Mercedes-  LLano Glindo-  Los Alpes-  Los Ameses-  Mercadillo-  Mielecita-  Potrerillo-  Puerta de Caña-;73024;73
883;CL 7;LIMITE URBANO;KR 1;KR 12;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;15740;15
2631;MUNICIPIO EL TARRA;MUNICIPIO HACARÍ;MPIO. TIBÚ Y SARDINATA;QUEBRADA SAN MIGUEL;Rural;Sin Informacion de Barrios;San Francisco Javier- San Martin;54670;54
1555;CL 7. 8 Y LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;Urbano;Algarra I- Algarra II- Algarra III- Casa Blanca- Cementerio- Contiguo La Concepcion- Cpr. El Rudal- Cpr. Pasoancho- Cpr. Portachuelo- El Centro- Julio Caro- La Concepcion- La Fraguita- San Pablo- Santiago Perez Pueblo Viejo- Terraplen- Urb. Asprovitez- Ur;Sin Informacion de Veredas;25899;25
527;AK CARACAS;AK  10;AC 1 DE MAYO;CL  47 S;Urbano;Granja de Santa Sofía- Granja San Pablo- Gustavo Restrepo- Hospital San Carlos- La Resurrección- La Resurrección I- Marco Fidel Suárez- San Jorge Sur- San José Sur- San Luis- Sosiego Sur;Sin Informacion de Veredas;11001;11
1756;CL 6;CL 0;KR 1;LIMITE URBANO;Urbano;Sin Informacion de Barrios;HONDURAS;25086;25
1992;MPIO. ALTAMIRA Y GUADALUPE;Q/DA. EMAYA Y RÍO (PERMANENTE);M. FLORENCIA Y GUADALUPE;MUNICIPIO TIMANA;Rural;Sin Informacion de Barrios;LAS QUEMADAS;41770;41
2352;MUNICIPIO EL TAMBO;MUNICIPIO CONSACÁ;VÍA EL TAM.-NARI. Y M. EL TAM. Y NARI.;MUNICIPIO SANDONÁ;Rural;Sin Informacion de Barrios;Alto San Pablo- Aminda-  La Sultana-  Pocaurco-  San Pablo-  Silencio-  Tambillo;52381;52
1980;CL 15;CL 3;KR 5A;KR 9;Urbano;Sin Informacion de Barrios;AGUA BLANCA- BELLAVISTA-  LA ARGENTINA-  LA ARGENTINA-  LA PEDREGOSA-  LAS AGUILAS-  PESCADOR-  SANTA HELENA;41378;41
3222;LIMITE URBANO;CL 2;LIMITE URBANO;KR 9;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;73555;73
3457;MUNICIPIO HATO COROZAL;MUNICIPIO TRINIDAD;CAÑO LA HERMOSA Y LAS GUAMAS;CAÑADA LAS GUARAS Y CAÑO VAINILLAL;Rural;Sin Informacion de Barrios;Brisas del Beber- Brito Alto-  Canalete-  Caño Chiquito-  Carrastol-  Centro Gaitan-  El Boral-  El Caribe-  El Desierto-  El Muese-  El porvenir-  El Porvenir del Guachiria-  La Candelaria-  La Hermosa-  La Libertad-  la Palmita-  La Soledad CÑ Garza-  L;85250;85
3130;MPIO. CASABIANCA Y FALÁN;MUNICIPIO LÍBANO;MPIO. ARMERO Y LÍBANO;VÍA CASABIAN.-PRIMAVERAL-MURILLO;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;73870;73
1074;MUNICIPIO SUPIA;MUNICIPIO QUINCHIA;MUNICIPIO FILADELFIA;VÍA GUÁTICA-SUPIA;Rural;Sin Informacion de Barrios;Aguacatal- Alto Bonito-  Bajo Aguacatal-  Bellavista-  Buenos Aires-  Claret-  De Batero-  El Carmelo-  El Jordán-  El Mestizo-  El Naranjo-  El Olivo-  El Palal-  Florencia-  Juan Días-  La Peña-  La Rueda-  Los Andes-  Moreta-  Pirsa-  Quimbaya-  San An;17614;17
218;MUNICIPIO SONSON;MUNICIPIO SAMANA;M. SONSON Y SAMANA;CUCHILLA EL TIGRE;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;5055;5
3218;MUNICIPIO ORTEGA;MUNICIPIO NATAGAIMA;VÍA COYAI.-MOLI. Y RÍO CHEN. Y GUA.;M. CHAPARRAL Y ATACO;Rural;Sin Informacion de Barrios;Fical Anchique- Guaipa-  Imba-  La Ceiba-  Palmata-  Plomo La María-  Tamarco;73217;73
446;NORTE CAMPO DE LA CRUZ;MUNICIPIO ARROYOHONDO;RÍO CAUCA;MUNICIPIO SANTA LUCIA;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;8770;8
2120;M. GUAMAL Y CHIMICHAGUA;CIENAGA CHILLOA Y RÍO (PERMANENTE);VÍA EL BANCO-CHIMICHA. Y M. CHIMICHA.;MUNICIPIO GUAMAL;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;47245;47
543;MAR CARIBE;CL 60 Y KR 17;MAR CARIBE;MAR CARIBE;Urbano;Canapote- Chambacú- Crespo- Daniel Lemaitre- El Cabrero- San Pedro y Libertad- Santa María- Siete de Agosto- Torices;Sin Informacion de Veredas;13001;13
380;VÍA TURBO - SAN P. DE U.;MUNICIPIO APARTADO;MUNICIPIO SAN PEDRO DE U.;MAR CARIBE;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;5837;5
1515;MPIO. PTO. ESCONDIDO Y MONTERIA;MUNICIPIO CANALETE;MUNICIPIO MONTERIA;VÍA STA. R. DE LA CAÑA-PTO. ESCONDIDO;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;23419;23
184;CL 33;LIMITE URBANO;KR 23;KR 47;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;5440;5
2137;M. SABANAS DE SAN ANGEL;VÍA ARIGUANI-BOSCONIA;MUNICIPIO BOSCONIA;M. SABA. DE SAN ANGEL Y NVA. GRANADA;Rural;SAN MARTIN;Sin Informacion de Veredas;47058;47
1457;MPIO. CERETÉ Y CGA. DE ORO;ARROYO SAN MIGUEL;MUNICIPIO CIÉNAGA DE ORO;VÍA CERETÉ-SAN CARLOS-FLECHA;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;23678;23
1292;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;19290;19
3127;LIMITE URBANO;CL 0;KR 1;KR 14;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;73461;73
2136;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;47058;47
1938;M. PALERMO Y SANTA MARIA;M. IQUIRA Y YAGUARÁ;M. YAGUARÁ Y PALERMO;MUNICIPIO IQUIRA;Rural;Sin Informacion de Barrios;ALMORZADERO- ARRAYANES-  BEBERRECIO-  BOMBONA-  CAJUCHAL-  CEIBAS-  EL TABLON-  FLORIDA-  GUALPI-  HERRERAS-  LA CASTILLA-  LA FLORESTA-  LA MARIA-  LA MINA-  MONSERATE-  PEDERNAL-  PINOS-  PRIMAVERA-  SAN GERARDO-  SAN JUAN-  SINAI-  TABLON-  UPAR-  VISO;41801;41
2346;MUNICIPIO MERCADERES;RÍO (PER.) Y VÍA TAMI.-LA UNIÓN;MUNICIPIO SAN LORENZO;MUNICIPIO EL ROSARIO;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;52786;52
