noid;zona_postal;codigo_postal;limite_norte;limite_sur;limite_este;limite_oeste;tipo;barrios_contenidos_en_el_codigo_postal;veredas_contenidas_en_el_codigo_postal;codigo_municipio
119;4180;418049;VÍA ISNOS-PURACÉ;VÍA ISNOS-SAN AGUSTÍN;VÍA ISNOS-PURACÉ;MPIO. SAN AGUSTÍN;Rural;Sin Informacion de Barrios;AGUADAS- ALTO JUNIN-  BAJO JUNIN-  BETANIA-  CAPILLAS-  DIAMANTE-  DIAMANTE-  GRANADA-  GUACAS-  IDOLOS-  MARBELLA-  OBANDO-  PALMAR-  PALMEIRAS-  PEÑAS BLANCAS-  PLATANARES-  PLATANARES-  PORVENIR-  RODDRIGO LARA-  RODDRIGO LARA-  SALEM-  TIGRE;41359
120;5040;504027;MPIO. GRANADA Y SAN MARTÍN;RÍO ARIARI Y M. PTO. LLERAS;MUNICIPIO SAN MARTÍN;RÍO ARIARI;Rural;Sin Informacion de Barrios;Alto Iraca- De Bolívar;50287
121;4140;414040;LIMITE URBANO;LIMITE URBANO;KR 1;KR 11;Urbano;Sin Informacion de Barrios;Bajo Buena Vista- Cabecera Municipal-  La Galda;41013
122;7335;733508;MPIO. IBAGUÉ Y PIEDRAS;MUNICIPIO ESPINAL;VÍA COELLO-DOIMA;MPIO. SAN LUIS Y ESPINAL;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;73200
123;5245;524587;MUNICIPIO SAPUYES;M. CUASPUD- ALDA. Y PUPIALES;M. SAPUYES Y PUPIALES;RÍO SAPUYES;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;52317
124;1113;111321;AC  63;DG  22A;AK  30;AK  68;Urbano;Acevedo Tejada- Campo Eucarístico- Campín Occidental- Centro Administrativo Occ- Centro Nariño- Ciudad Salitre Nor-Oriental- Ciudad Salitre Sur-Oriental- Ciudad Universitaria- El Recuerdo- El Salitre- Gran América- La Esmeralda- Nicolás de Federman- Pablo;Sin Informacion de Veredas;11001
125;5470;547018;MUNICIPIO TEORAMA;MPIO. OCAÑA Y LA PLAYA;M. HACARÍ Y Q/DA. SAN MIGUEL;MUNICIPIO TEORAMA;Rural;Sin Informacion de Barrios;El Limon- El Oso-  El Pantano-  Estrella Alta-  Estrella Baja-  Farache-  Guaranao-  Limites-  Los Angeles-  Piedra de Moler-  Vijagual;54670
126;7300;730002;LIMITE URBANO;KR 5;CL 70;CL 60 Y LIMITE URBANO;Urbano;Sin Informacion de Barrios;Bellavista- El Triunfo-  La Pedreguera;73001
127;1514;151407;MUNICIPIO CUBARA;M. MACARAVITA Y EL ESPINO;M. MUNICIPIO GÛICAN;MUNICIPIO CARCASI;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;15180
128;6825;682548;RÍO GUACHA;M. CHARA.- DUITA. Y STA. R. DE V.;MPIO. CERINZA Y BELEN;RÍO LA RUSIA;Rural;Sin Informacion de Barrios;Avendaño- Avendaños-  Cabuya-  Cañada-  Centro-  Chapa-  El Carmen-  El Hato-  La Meseta-  Martinez Peña-  Patios Altos-  Patios Bajos-  Piedras Blancas-  Rionegro;68264
129;2000;200009;MUNICIPIO SAN J. DEL CESAR;RIO AZUCAR BUENO;M. VILLANUE.- LA J. DEL PI. Y SAN D.;VIA BOSC.-VALLED.-SAN J. DEL C.;Rural;Sin Informacion de Barrios;EL ENEAL- LOS SANJONES-  SAN JERONIMO;20001
130;514;51430;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;CL 14;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;5264
131;7600;760036;AK TEQUENDAMA Y KR 44;AK GUADALUPE;CL  25;CL  5;Urbano;Cañaverales - Los Samanes- Camino Real - Los Fundadores- Departamental- Jorge Zawadsky- La Selva- Las Granjas- Nueva Tequendama- Panamericano- Primero de Mayo- San Judas Tadeo I- Santo Domingo- Unidad Residencial Santiago de Cali- Urbanización Militar;Sin Informacion de Veredas;76001
132;1310;131077;MUNICIPIO ARJONA;MUNICIPIO SAN ONOFRE;VIA PUEBLO NUEVO-CORREA;MUNICIPIO SAN ONOFRE;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;13442
133;1910;191088;MUNICIPIO PUERTO TEJADA;VÍA VILLA RICA-PADILLA;MUNICIPIO PADILLA;MUNICIPIO VILLA RICA;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;19142
134;2536;253627;MPIO. NIMAIMA Y VERGARA;M. SASAIMA Y LA VEGA;MPIO. LA VEGA Y VERGARA;MPIO. NIMAIMA Y VILLETA;Rural;Sin Informacion de Barrios;Alto de Pajas- Baquero-  Cabecera Municipal-  CALAMO-  Cañutal-  Centro-  CHAGUANI-  Chonte Grande-  Cocunche-  El Fiscal-  El Tigre-  GUARUMAL-  Jagual-  La Florida-  La Montaña-  Las Mercedes-  Lauta-  LOMA LARGA-  Lomalarga-  Naranjal-  Naranjal-  RESG;25491
135;820;82020;CL 4;LIMITE URBANO;KR 29;KR 5;Urbano;1 de Enero- Caldas- El Porvenir- España- Góngora- Guayabal- La Candelaria- La Esperanza- Las Américas- Las Margaritas- Loma Fresca- Manzanares- Once de Noviembre- Pinique- Primavera- San Cayetano- San José- Santa Helena- Topacio- Veinte de Julio- Villa An;Sin Informacion de Veredas;8078
136;560;56040;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;5145
137;2740;274017;M. EL CANTÓN DE S. P.- UNIÓN PA. Y TADÓ;Q/DA. DIPURDÚ DEL GUASIMO;M. RÍO IRO- MEDIO SAN J. Y CONDOTO;MUNICIPIO MEDIO BAUDO;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;27361
138;5010;501001;CL 13;CL 1;LIMITE URBANO;LIMITE URBANO;Urbano;Sin Informacion de Barrios;Cabecera Municipal- Caiman Alto-  Las Moras-  Zona Urbana;50110
139;5275;527529;Q/DA. PULBUZA Y RÍO (PERMANENTE);MUNICIPIO MAGÜI;MPIO. STA. BÁRBARA Y RÍO (PERMA.);MUNICIPIO LA TOLA;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;52250
140;564;56417;MUNICIPIO BÉTULIA;MPIO. SALGAR Y VENECIA;MPIO. ARMENIA Y TITIRIBI;MPIO. SALGAR Y URRAO;Rural;Sin Informacion de Barrios;Bolombolo- Burgos-  Cabecera Municipal-  Caunzal-  El Cascajo-  El Chocho-  El Concilio-  El Golpe-  El León-  El Socorro-  Higuerón-  La Botija-  La Comia-  La Costa-  La Cristalina-  La Fotuta-  La Padilla-  La Raya-  La Selva-  La Sucia-  La Sucre-  La;5209
141;2526;252610;CL 9;DG 2 S;KR 0;KR 8B;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;25797
142;5255;525550;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;52720
143;4100;410003;LIMITE URBANO;CL 23 Y KR 49;LIMITE URBANO;CL  25A;Urbano;Alberto Yepes- Antonio Nariño- Camino Real- Campo Real- Ciudad Salitre- Ciudadela Antonio Baraya- El Oasis- El Pedregal- El Triunfo- Enrique Olaya Herrera- Granja San Bernardo- Katakandru- La Amistad- La Palma II Etapa- La Pradera- La Rioja- La Victoria-;Sin Informacion de Veredas;41001
144;5000;500004;AK 40 Y KR 33;RIO OCOA  Y  LIM URB;KR  22;KR 48 Y VIA P/LELA C. TIGRE;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;50001
145;1538;153880;CL 8;CL 0;KR 0;KR 7;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;15638
146;5275;527520;CL 5 S;LIMITE URBANO;KR 5;LIMITE URBANO;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;52250
147;1552;155218;VÍA (AFIRMADA);MUNICIPIO YACOPI;VÍA OTANCHE - PUERTO TRIUNFO;CAÑO EL ABEJORRO;Rural;Sin Informacion de Barrios;CACERES- EL MORRO-  La Pizarra;15572
148;544;54438;MUNICIPIO SAN CARLOS;MUNICIPIO SAN FRANCISCO;RÍO CALDERA;M. GRANADA Y COCORNA;Rural;Sin Informacion de Barrios;Boqueron- Cabecera Municipal-  Comejenes-  Cuba-  El Cruce-  El Jordán-  El Olivo-  El Pescado-  El Popal-  El Silencio-  El Socorro-  El Tagual-  El Tricua-  La Aurora-  La Garrucha-  La Habana-  La India-  La Lora-  La Palmera-  La Tebaida-  Manizales-;5660
149;1720;172001;LIMITE URBANO;LIMITE URBANO;KR 9;KR 1;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;17653
150;8550;855030;CL 28A;CL 7S;KR 1 E;KR 15;Urbano;Bello Horizonte- Bosque- Brisas del Agua Clara- Brisas del Upía- Brisas del Upía 2- Centro- Fundadores- Morichal- Panorama- Paraíso- Progreso- Villa Clara- Villaluz;Caracoli- La Colmena-  La Libertad;85440
151;4400;440007;RÍO RANCHERIA;VIA ALBANIA - MATITA;RÍO RANCHERIA;VIA RIOHACHA - MATITA;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;44001
152;9700;970009;RÍO VAUPÉS;MUNICIPIO PACOA;MPIO. YAVARATE Y PAÍS BRASIL;MUNICIPIO CARURU;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;97001
153;5450;545077;MUNICIPIO SARDINATA;MUNICIPIO GRAMALOTE;MUNICIPIO GRAMALOTE;MPIO. VILLA CARO Y BUCARASICA;Rural;Sin Informacion de Barrios;Balcones- Cabecera Municipal-  Camporico-  Carmen-  Corazones-  El Silicio-  Fátima-  Filo Seco-  Helechal-  La Alianza-  La Armenia-  La Miel-  La Pajulia-  La Primavera-  Las Brisas-  Las Mercedes-  Los Pinos-  Moyitas-  Pío XII-  San Antonio-  San Isid;54418
154;1800;180017;LIMITE MUNICIPAL;VIA MORELIA - FLORENCIA;RIO HACHA;RÍO BODOQUERO;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;18001
155;6835;683531;CL 15;CL 3;KR 4;KR 7;Urbano;Sin Informacion de Barrios;Cabecera Municipal- Salitre;68209
156;7050;705070;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;Urbano;12 de Octubre- 7 de Agosto- 9 de Marzo- Balcones Del Río- Barranquillita- El Campano- El Carmen- Fátima- Gustavo Dajer- La Balsa- La Palma- Las Colinas- Las Flores- Las Mercedes- Millán Vargas- Pera Alonso- Sampumas- San José- San Juan de Dios- Santa Mart;Sin Informacion de Veredas;70670
157;1935;193588;MUNICIPIO LOPEZ;RÍO (PERMANENTE);RÍO (PERMANENTE);MUNICIPIO LOPEZ;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;19256
158;510;51037;MUNICIPIO DON MATIAS;LIMITE URBANO;MUNICIPIO BARBOSA;MUNICIPIO COPACABANA;Rural;Sin Informacion de Barrios;El Socorro- El Tigre-  La Mata-  La Matica-  Loma de los Ochoa-  Mercedes abrego-  Potrerito;5308
159;6610;661007;MPIO. MARSELLA Y SANTA RO. DE CABAL;LIMITE URBANO;MPIO. SANTA ROSA DE CABAL;MUNICIPIO PEREIRA;Rural;Sin Informacion de Barrios;Alto Erazo- El Nudo-  El Sinai-  El Tobanito-  Estanquillo-  La Argentina-  La Cima-  La Esperanza-  La Esperanza-  La Fría-  La Palma-  La Unión-  Llano Grande-  Minas del Socorro-  Nueva Independencia-  Pital de Combia-  Santana;66170
160;550;55068;RÍO CAUCA;MUNICIPIO VALPARAISO;MUNICIPIO AGUADAS;MUNICIPIO TAMESIS;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;5390
161;5240;524038;MPIO. IPIALES Y CORDOBA;MUNICIPIO IPIALES;RÍO SAN FRANCISCO;QUEBRADA YAMUESQUER;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;52560
162;6600;660004;AK 30 AGO - KR 13;LIMITE URBANO;CL  17;CL 51 -SANJÓN LA UNIÓN;Urbano;Alcazar de Maraya- Altos de Tanambi- Balcones Villa del Prado- Barajas Central- Barajas I- Barajas II- Belalcázar- Bloques Ciudad Pereira- Bosque de La Salle- Boston- Brasilia- Brisas de Las Américas- Cachipay- Caminos de Maraya- Casas Tulcán- Centenario-;Naranjito;66001
163;5400;540004;LIMITE URBANO;CL 6 Y 7E;LIMITE URBANO;AK  2E;Urbano;13 de Marzo- Bocono- Caña Fistolo- El Higuerón- Heliópolis- La Alameda- La Isla de La Fantasía- La Quinta- La Unión- Nuebo Escobal- Pamplonita- Prados del Este- Santa Clara- Terranova- Urbanización San Martín- Urbanización San Martín 2- Viejo Escobal- Vil;El Palmar;54001
164;810;81007;MAR CA. Y M. B/QUILLA;VIA B/QUILLA-PTO. COL.;MPIO. B/QUILLA;MAR CARIBE;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;8573
165;7040;704050;CL 3;CL 15A;CL 14 C;CL 8;Urbano;Avenida Núñez- Betania- Doce de Marzo- La Paz- Las Brisas- Los Cayitos- Nuevo- Paralibio- Pueblo Nuevo- San Antonio- San Mateo- San Pedro- Santa Fé- Santander- Santo Domingo- Urbanización San Antonio;Sin Informacion de Veredas;70400
166;2010;201057;VÍA EL BANCO-CHIMI. Y CIÉNA. EL RUBIO;MUNICIPIO PAILITAS Y TAMALAMEQUE;MPIO. EL CARMEN Y CURUMANI;MUNICIPIO EL BANCO;Rural;Sin Informacion de Barrios;Campo Alegre- Chinela-  Dos Brazos-  Hoja Ancha-  La Conquista No 2-  La Luna Sector 1-  La Morrocoya-  Las Tijeras-  Villa Colón;20175
167;8500;850001;LIMITE URBANO  Y  RIO CRAVO SUR;CL  24;LIMITE URBANO;LIMITE URBANO Y RIO CHARTE;Urbano;1 de Mayo- Bello Horizonte- Bicentenario- Bon Habitat- Brisas del Cravo- Caribabare- Dalel Barón- Ejército Nacional- El Alcaravan- El Bosque- El Brosquero- El Centro- El Gaván- El Libertador- El Remanso I- El Salitre- El Yarumo- Juan Pablo- La Amistad- La;Sin Informacion de Veredas;85001
168;5220;522068;MUNICIPIO TAMINANGO;VÍA EL PEÑOL-MATITUY;M. CHACHAGÜI Y LA FLORIDA;MUNICIPIO EL PEÑOL;Rural;Sin Informacion de Barrios;Capuli de Minas- Las Azogues-  LLano Largo-  Méjico-  Placer-  Ricaurte;52260
169;1300;130015;CL  30 Y 31;TV  54;DG 30 Y TV 50;DG  22;Urbano;Altos de San Isidro- Amberes- Armenia- Bosquecito- Brucelas- El Prado- España- José Antonio Galán- Juan XXIII- Junín- Las Brisas- Los Cerros- Nueva Granada- Nueve de Abril- Nuevo Bosque- Paraguay- Piedra de Bolívar- República de Chile- San Isidro;Sin Informacion de Veredas;13001
170;6855;685517;M. VELEZ Y STA. H. DE OPÓN;VÍA AGUADA-LA PAZ Y RÍO (PER.);M. AGUA.- EL GUACA. Y STA. H. OP.;MUNICIPIO VELEZ;Rural;Sin Informacion de Barrios;Los Medios;68397
171;1325;132527;MUNICIPIO MOMPOS;MUNICIPIO ACHÍ;MUNICIPIO PINILLOS;MUNICIPIO SUCRE;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;13430
172;6870;687038;RIO PERMANENTE;M. SAN VICENTE DE CHUCURI;M. SABANA DE TORRES;QUEBRADA VIZCAÍNA;Rural;Sin Informacion de Barrios;ALBANIA;68081
173;2010;201038;RÍO CESAR Y MPIO. BECERRIL;MUNICIPIO CHIRIGUANÁ;MPIO. LA JAGUA DE IBIRICO;MUNICIPIO ASTREA;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;20250
174;1524;152429;QUEBRADA SISVACA;M. SAN EDUARDO Y PAEZ;MUNICIPIO CHAMEZA;M. RONDON Y ZETAQUIRA;Rural;Sin Informacion de Barrios;Alejandria- Alpes-  Brisas de Tonce-  Cardoso-  Corales-  Jordan Alto-  Jordan Bajo-  La Esperanza-  Magavita Centro-  Morgui-  Palmar-  Providencia;15047
175;2524;252417;MUNICIPIO TOCAIMA;MUNICIPIO MELGAR Y NILO;M. AGUA DE D. Y NILO;M. GIRARDOT Y LIMITE URBANO;Rural;Sin Informacion de Barrios;BARZALOZA- BERLING-  CAJON-  Callejón-  Casablanca-  COBOS-  Cumaca-  EL HOBAL-  El Portal-  La Apicalá-  LA BALSITA-  La Carrera-  LA PALMITA-  LA SONORA-  La Virginia-  LLano Pozo-  MALACIA-  Manuel Norte-  MANUEL NORTE-  PIAMONTE-  PRESIDENTE-  PUBENZA;25612
176;7020;702037;MUNICIPIO CORDOBA;MPIO. SAN LUIS DE SINCE;MUNICIPIO MAGANGUÉ;MPIO. SAN PEDRO Y SAN LUIS DE SINCE;Rural;Sin Informacion de Barrios;Granada- La Vivienda-  Numancia-  San José de Las Palmas-  San Mateo;70110
177;4180;418047;MPIO. SALADOBLANCO;M. SAN AGUSTÍN Y PITALITO;MUNICIPIO PITALITO;VÍA EL S. DE BORDONES-ISNOS-SAN AGUS.;Rural;Sin Informacion de Barrios;A MONDEGAL- BAJO MONDEGAL-  BELLAVISTA-  C. CHIQUITA-  CAMPOALEGRE-  EL CARMEN-  EL CARMEN-  EL PLAYON-  GUADUALES-  INDEPENDENCIA-  MARQUESA-  MORTIÑO-  PRIMAVERA-  SAN LORENZO-  VICTORIA;41359
178;568;56847;MUNICIPIO ABRIAQUI;MUNICIPIO ANZA;M. SANTA FÉ DE ANTIOQUIA;MUNICIPIO URRAO;Rural;Sin Informacion de Barrios;Alta Vista- Asesi-  Bella Aguada-  Chochal-  El Filo-  El Playon-  El Tambor (Cabecera Municipal)-  La Cortada-  La Manga-  La Noque-  Los Pinos-  Los Sauces;5125
179;7355;735538;MUNICIPIO RONCESVALLES;MUNICIPIO CHAPARRAL;M. ORTEGA Y VÍA SAN ANTO.-VILLA HER.;M. RONCESVALLES Y CHAPARRAL;Rural;Sin Informacion de Barrios;Cabecera Municipal- Cajamarca-Legía-  Carrasposo-  Desierto -Peña Lisa-  El Cural-  El Potro-  El Salado-  El Silencio-  El Vino-  Florida Baja-  La Cristalina-  La Julia-  La Laguna-  Las Delicias-  Las Juntas-  Legía Baja-  Los Lirios-  Lugo Alto-  Mese;73675
180;6830;683019;MPIO. GUAPOTÁ Y CONFINES;RÍO OIBITA Y Q/DA. GUAYANA;Q/DA. GUAYANA Y MPIO. CONFINES;RÍO OIBITA Y MPIO. GUAPOTÁ;Rural;Sin Informacion de Barrios;Agua Fría- Gualilos-  Morario-  San Pedro-  San Pedro;68500
181;800;80006;KR  21;KR  1B;AC BOYACA;AC MURILLO;Urbano;Alboraya- Bella Arena- Boyacá- Buenos Aires- El Campito- El Limón- El Milagro- José Antonio Galán- La Magdalena- La Unión- Las Palmas- Los Laureles- San José- San Nicolás- Tayrona- Universal- Villa Blanca;Sin Informacion de Veredas;8001
182;2010;201048;MPIO. PIJIÑO DEL CARMEN;MUNICIPIO CHIMICHAGUA;VÍA C-. DE ARIGUANI-CHIMICHAGUA;M. SAN S/TIAN. DE BUENAVISTA;Rural;Sin Informacion de Barrios;El Dividivi- Las Plandas-  San Rafael;20032
183;1102;110231;AC 72;AC 39;LIMITE URBANO;AK 14;Urbano;Bosque Calderón- Cataluña- Chapinero Central- Chapinero Norte- El Paraíso- Emaus- Granada- Hoya Teusaca- Ingemar- Ingemar Oriental- Ingemar Oriental I- Ingemar Oriental Rural- Juan XXIII- La Salle- Las Acacias- Marly- María Cristina- Pardo Rubio- Quinta C;Sin Informacion de Veredas;11001
184;550;55020;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;Urbano;Sin Informacion de Barrios;Cabecera Municipal- La Almeria-  La Concha-  Quebrada Negra-  Vallejuelito;5400
185;2730;273077;MUNICIPIO NOVITA;MUNICIPIO EL CAIRO;MUNICIPIO EL AGUILA;Q/DA. BARRO BLANCO Y RÍO (PERMANENTE);Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;27660
186;1532;153207;MPIO. LA CAPILLA Y PACHAVITA;MUNICIPIO SUTATENZA;MUNICIPIO GARAGOA;M. LA CAPILLA- TIBIRITA Y GUATEQUE;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;15798
187;2030;203067;MUNICIPIO CHIRIGUANÁ;MPIO. CHIMICHAGUA Y EL CARMEN;PAÍS VENEZUELA;MUNICIPIO CHIMICHAGUA;Rural;Sin Informacion de Barrios;Bella Vista- Cabecera Municipal-  Caño Grande-  Caño Largo-  Champan-  Dos de Mayo-  El Bolsillo-  El Cocli-  El Espejo-  El Mamey-  El Palmar-  El Triunfo-  Galaxia-  La Carolina-  La Conga-  La Conquista 2-  La Conquista No 1-  La Libertad-  La Mocha-;20228
188;2528;252848;MUNICIPIO JERUSALÉN;M. AGUA DE DIOS Y NILO;MPIO. APULO Y VIOTÁ;VIA JERUSA.-TOCAIM.-AGUA DE D.;Rural;Sin Informacion de Barrios;ARMENIA;25815
189;1520;152001;CL 8;LIMITE URBANO;LIMITE URBANO;KR 7;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;15464
190;4460;446009;MAR CARIBE;M.  VALLEDUPAR Y ARACATACA;RÍO ANCHO;MUNICIPIO SANTA MARTA;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;44090
191;6340;634001;LIMITE URBANO;KR 1;CL 11B;LIMITE URBANO;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;63272
192;1940;194028;MUNICIPIO LA SIERRA;RELIEVE MONTAÑOSO;MUNICIPIO SOTARÁ;VÍA LA VEGA-LA SIERRA Y RÍO PUTIS;Rural;Sin Informacion de Barrios;El Cucharro- El Oso-  El Placerderrumbe-  Garay-  La Pintada-  Loma Grande-  Los Planes;19397
193;4120;412020;KR 9;KR 1;LIMITE URBANO;LIMITE URBANO;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;41676
